listingPrice,listingType,marketStatus,conservationStatus,energyEfficiencyLevel,constructionYear,localZone,garage,garageSpots,floorAsNumber,elevator,totalRooms,numberOfBedrooms,numberOfBathrooms,totalArea,livingArea
553000.0,Apartamento,Novo para o Mercado,Bom estado,D,2000.0,Linda A Velha,False,2,4.0,True,4.0,3.0,3.0,155.0,141.0
249900.0,Apartamento,Novo para o Mercado,Bom estado,E,1991.0,Linda A Velha,False,0,4.0,False,,3.0,2.0,83.0,83.0
215000.0,Apartamento,Novo para o Mercado,,E,1977.0,Linda A Velha,False,0,0.0,True,,1.0,1.0,39.0,39.0
1250000.0,Apartamento,Novo para o Mercado,Novo,A,2024.0,Algés,False,3,10.0,True,5.0,4.0,4.0,271.0,185.0
230000.0,Apartamento,Novo para o Mercado,Para Obras,G,1972.0,Carnaxide,False,0,3.0,False,4.0,3.0,2.0,94.0,74.0
575000.0,Apartamento,Novo para o Mercado,,C,1996.0,Carnaxide,False,1,7.0,True,,4.0,2.0,181.0,181.0
324900.0,Apartamento,Novo para o Mercado,Bom estado,D,1983.0,Oeiras,False,0,3.0,True,4.0,3.0,2.0,101.0,91.0
19900.0,Arrecadação,Novo para o Mercado,Bom estado,NC,1975.0,Paço de Arcos,False,0,0.0,False,1.0,,0.0,7.0,4.0
990000.0,Moradia,Novo para o Mercado,Para Obras,E,1967.0,Linda A Velha,True,2,,,12.0,7.0,4.0,218.0,218.0
500000.0,Apartamento,Novo para o Mercado,Como novo,C,2001.0,Paço De Arcos,False,1,4.0,True,4.0,3.0,2.0,121.0,121.0
335000.0,Apartamento,Novo para o Mercado,Usado,C,1981.0,Linda A Velha,False,0,4.0,True,4.0,3.0,2.0,89.0,89.0
359000.0,Apartamento,Novo para o Mercado,,C,1987.0,Carnaxide,False,0,9.0,True,,3.0,2.0,96.0,96.0
275000.0,Apartamento,Novo para o Mercado,Bom estado,E,1963.0,Algés,False,0,2.0,False,3.0,2.0,2.0,71.0,71.0
